Employee_ID,Department,Gender,Age,Study_Hours,Exam_Score,Salary,Satisfaction_Score
116,Finance,Male,49,7.7,80.0,76226.0,1.0
117,HR,Male,26,4.8,61.1,72756.0,3.0
118,Engineering,Female,51,7.5,75.0,92226.0,8.0
119,Finance,Female,26,1.8,35.2,71315.0,3.0
120,Sales,Female,33,3.8,49.2,63334.0,8.0
121,HR,Female,37,5.0,69.4,54888.0,1.0
122,Finance,Female,47,5.1,62.8,70175.0,5.0
123,Engineering,Female,47,4.1,55.5,71651.0,4.0
124,Engineering,Male,42,6.2,66.7,104090.0,5.0
125,Engineering,Female,57,2.9,39.0,75794.0,8.0
126,Sales,Male,54,4.7,54.3,75657.0,10.0
127,HR,Male,51,5.2,65.1,67854.0,4.0
128,Finance,Female,58,6.0,64.9,86171.0,4.0
129,Engineering,Male,44,6.4,73.7,98165.0,3.0
130,Sales,Female,31,2.8,58.6,51811.0,7.0
131,Sales,Male,26,1.9,42.4,88570.0,3.0
132,Engineering,Female,57,7.6,77.8,100987.0,3.0
133,Engineering,Male,55,5.7,74.9,94435.0,10.0
134,Engineering,Female,52,3.5,44.8,111550.0,5.0
135,Finance,Female,31,8.1,68.5,66154.0,5.0
136,Engineering,Female,40,5.2,53.8,97255.0,6.0
137,Sales,Female,53,7.4,63.9,77903.0,8.0
138,Marketing,Female,22,5.1,58.3,69242.0,10.0
139,Sales,Male,26,9.1,93.1,67877.0,6.0
140,Finance,Male,25,8.5,100.0,86886.0,1.0
141,Finance,Male,37,4.5,58.6,79084.0,8.0
142,Engineering,Female,45,6.9,73.8,106149.0,8.0
143,Sales,Male,37,6.3,77.0,69602.0,9.0
144,Engineering,Female,23,7.7,64.2,92240.0,9.0
145,Engineering,Female,49,3.1,46.4,95277.0,2.0
146,Engineering,Male,53,6.4,77.1,100214.0,2.0
147,Marketing,Male,48,7.1,65.1,71135.0,3.0
148,Sales,Female,41,1.5,41.0,84261.0,1.0
149,Engineering,Male,45,2.6,43.8,97938.0,4.0
150,Engineering,Female,33,0.9,30.0,80324.0,4.0
